Wall time,Step,Value
1712813557.4110262,1789,0.34505757689476013
1712813570.9456396,1792,0.12777821719646454
1712813604.7165914,1799,0.3077273964881897
1712813609.8728771,1800,0.030648494139313698
1712813614.6018372,1801,0.22063110768795013
1712813628.9296496,1804,0.04086294025182724
1712813648.090004,1808,0.0850696936249733
1712813652.7397473,1809,0.45535174012184143
1712813657.3996358,1810,0.0798499658703804
1712813672.1306314,1813,0.03463156521320343
1712813676.8384566,1814,0.17244093120098114
1712813686.196793,1816,0.600978434085846
1712813695.9849715,1818,0.3455606698989868
1712813705.697713,1820,0.07944492250680923
1712813724.9501526,1824,0.25669947266578674
1712813734.3620343,1826,0.24816691875457764
1712813763.1961513,1832,0.2193356603384018
1712813772.4857724,1834,0.29924917221069336
1712813792.0639908,1838,0.05719299614429474
1712813815.8254237,1843,0.24766825139522552
1712813835.6386936,1847,0.22638200223445892
1712813849.9066672,1850,0.5200319886207581
1712813854.54302,1851,0.03373467177152634
1712813863.9711993,1853,0.19092339277267456
1712813869.053495,1854,0.12390067428350449
1712813878.7349913,1856,0.2428872138261795
1712813883.411543,1857,0.2689724266529083
1712813888.1004202,1858,0.037340447306632996
1712813897.8944013,1860,0.02790742926299572
1712813902.5202043,1861,0.05444846674799919
1712813907.139362,1862,0.05807669088244438
1712813940.9441526,1869,0.24746213853359222
1712813946.1946466,1870,0.06208600476384163
1712813950.8970463,1871,0.35502395033836365
1712813955.6810327,1872,0.25106897950172424
1712813969.6907842,1875,0.05920291319489479
1712814012.6916335,1884,0.22276897728443146
1712814032.4473178,1888,0.04024611786007881
1712814037.4743183,1889,0.09493988752365112
1712814042.0576792,1890,0.2524231970310211
1712814047.2337568,1891,0.032591868191957474
1712814066.7737045,1895,0.0933866798877716
1712814071.3859248,1896,0.5787599682807922
1712814081.5302317,1898,0.03567364066839218
1712814086.5550363,1899,0.2618102431297302
1712814096.4028864,1901,0.25214922428131104
1712814111.2720218,1904,0.6730194091796875
1712814125.6230388,1907,0.09607717394828796
1712814130.262663,1908,0.022229032590985298
1712814140.0565312,1910,0.2726282477378845
1712814150.139553,1912,0.07258468121290207
1712814159.9378383,1914,0.03805408254265785
1712814184.1150696,1919,0.04131447151303291
1712814202.8966548,1923,0.0824548751115799
1712814216.7370389,1926,0.07152187079191208
1712814235.750668,1930,0.24941743910312653
1712814245.310109,1932,0.16577808558940887
1712814250.3666437,1933,0.47419705986976624
1712814255.344298,1934,0.26920807361602783
1712814269.0544837,1937,0.1450301855802536
1712814293.5369382,1942,0.38041749596595764
1712814322.2521605,1948,0.11585790663957596
1712814326.9969907,1949,0.1601376086473465
1712814331.6705801,1950,0.14491194486618042
1712814346.5128505,1953,0.236663818359375
1712814360.8609552,1956,0.08296946436166763
1712814375.7739556,1959,0.03158995136618614
1712814380.4673817,1960,0.06337835639715195
1712814400.556027,1964,0.06549395620822906
1712814405.1529007,1965,0.09781128168106079
1712814410.268181,1966,0.08838837593793869
1712814424.1470883,1969,0.11599402874708176
1712814433.804088,1971,0.18802380561828613
1712814448.61948,1974,0.4532991349697113
1712814453.288508,1975,0.2477126270532608
1712814462.686473,1977,0.09718995541334152
1712814477.0086305,1980,0.2896340787410736
1712814496.783538,1984,0.3018735945224762
1712814501.8920069,1985,0.07642977684736252
1712814506.5595758,1986,0.26748397946357727
1712814511.3380358,1987,0.10794883221387863
1712814516.0084329,1988,0.01445641741156578
1712814525.8385663,1990,0.05061154440045357
1712814530.9407861,1991,0.29706576466560364
1712814535.6584837,1992,0.08807799220085144
1712814540.6383233,1993,0.22995682060718536
1712814568.6374002,1999,0.08166270703077316
1712814578.0516012,2001,0.051641494035720825
1712814588.1930807,2003,0.06938064843416214
1712814593.1987221,2004,0.047847017645835876
1712814598.219123,2005,0.5529416799545288
1712814603.2577677,2006,0.10929262638092041
1712814607.8781335,2007,0.1252625733613968
1712814617.179293,2009,0.0595674104988575
1712814626.5476992,2011,0.09180886298418045
1712814631.11942,2012,0.09332325309515
1712814645.3594618,2015,0.20797224342823029
1712814650.224526,2016,0.42920708656311035
1712814664.642381,2019,0.07597377151250839
1712814766.2075765,2040,0.022178588435053825
1712814770.9338367,2041,0.16640545427799225
1712814789.6966996,2045,0.07393138855695724
1712814794.4020224,2046,0.09758293628692627
1712814799.5376055,2047,0.06817463785409927
1712814809.6588113,2049,0.3663518726825714
1712814814.4409633,2050,0.02012295089662075
1712814824.6310246,2052,0.02111891657114029
1712814839.036322,2055,0.023602066561579704
1712814844.1578956,2056,0.363353967666626
1712814853.5250516,2058,0.8445947170257568
1712814858.1227484,2059,0.07779640704393387
1712814862.7883763,2060,0.1663786619901657
1712814881.8339655,2064,0.08487655967473984
1712814886.5019212,2065,0.31263235211372375
1712814896.501499,2067,0.2256128191947937
1712814901.215534,2068,0.31781962513923645
1712814915.2555783,2071,0.12713678181171417
1712814925.6593652,2073,0.18970829248428345
1712814949.7218964,2078,0.5008736252784729
1712814953.9125028,2079,0.18411140143871307
1712814958.9791253,2080,0.10573651641607285
1712814963.7392368,2081,0.14094318449497223
1712815010.8322256,2091,0.03365923836827278
1712815015.9391513,2092,0.10235574096441269
1712815025.3393466,2094,0.02342119626700878
1712815044.6402297,2098,0.13775549829006195
1712815065.0770087,2102,0.33794260025024414
1712815070.1835203,2103,0.1897639036178589
1712815094.8174813,2108,0.47608110308647156
1712815104.6771736,2110,0.07599028199911118
1712815109.75868,2111,0.3638010323047638
1712815119.6006486,2113,0.16890518367290497
1712815124.2781305,2114,0.12172304838895798
1712815128.9530716,2115,0.05351907014846802
1712815148.4970434,2119,0.24766628444194794
1712815158.1938572,2121,0.031962912529706955
1712815163.3575609,2122,0.19141952693462372
1712815172.712953,2124,0.052950311452150345
1712815186.7520142,2127,0.3571309745311737
1712815191.8124943,2128,0.06969185918569565
1712815196.5503345,2129,0.3139219880104065
1712815201.1981037,2130,0.09057871252298355
1712815215.2327726,2133,0.32788321375846863
1712815219.9387844,2134,0.06945457309484482
1712815239.154177,2138,0.038421276956796646
1712815243.848398,2139,0.11953061819076538
1712815263.065462,2143,0.035507310181856155
1712815267.725729,2144,0.009877455420792103
1712815277.0539637,2146,0.03022714890539646
1712815282.22285,2147,0.06423931568861008
1712815287.2364867,2148,0.05247524753212929
